ID,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,food_waste_kg,env_score,ops_score,human_score,env_score_norm,ops_score_norm,human_score_norm,cluster
0,196,13,27.88727267748186,45.36285390629726,0,0,7.740586989477199,1,0,28.946465336432905,0.48462081850858324,0.08020050125313283,0.5357142857142857,0.4896470339501142,0.07809847198641764,0.5357142857142857,1
1,244,15,10.317872249672336,64.4304752462708,1,0,42.311778812786294,1,2,51.54905281454645,0.29712074783284476,0.1758563074352548,0.6071428571428572,0.300143717090172,0.17529711375212223,0.6071428571428572,0
4,148,16,27.714300115065733,69.04611285352485,1,0,41.18430513351168,0,2,53.008322732556536,0.6790232927454021,0.09565580618212195,0.39285714285714285,0.6861264994825159,0.09380305602716466,0.39285714285714285,1
5,157,19,19.173901980120014,46.292822844674546,6,0,41.54349249539056,0,2,48.62152711280995,0.3204142927649814,0.38095238095238093,0.49999999999999994,0.3236861296885112,0.3837011884550085,0.49999999999999994,0
6,297,10,26.375233470802712,79.74106395272946,0,0,26.525096675175018,1,2,44.15698435866615,0.7419248582839681,0.16457811194653296,0.42857142857142855,0.7497001038138753,0.16383701188455005,0.42857142857142855,1
7,241,18,16.863506350003135,79.2859194985556,3,0,11.834877755148362,1,0,27.393670187103623,0.5503920455376399,0.28446115288220547,0.7142857142857142,0.5561209591653716,0.2856536502546689,0.7142857142857142,0
8,443,16,19.888627096999215,77.32813583432157,0,0,22.862658782043177,0,3,52.17211773229588,0.5937457365662946,0.28654970760233917,0.39285714285714285,0.5999378399720958,0.28777589134125636,0.39285714285714285,1
9,416,16,18.559590900838664,75.7865018160785,5,1,34.59944224726701,1,2,72.05240748747588,0.5546381704448544,0.8751044277360066,0.6428571428571428,0.5604124495675824,0.8858234295415958,0.6428571428571428,0
10,439,18,24.111027266972066,43.395803130311776,4,0,17.45914862714055,2,0,44.28415666965992,0.39365981240694387,0.5054302422723476,0.9642857142857142,0.3977142026767416,0.5101867572156197,0.9642857142857142,0
11,267,7,25.412493172377086,89.40518256404891,1,0,23.067392475419435,2,1,33.23393011057515,0.8036437920015819,0.19507101086048453,0.5714285714285714,0.8120784411147375,0.19482173174872663,0.5714285714285714,1
12,487,15,20.96518041223846,53.39234117649265,2,0,41.075793193608725,2,2,61.213325501284864,0.4150677411393245,0.4344193817878028,0.8571428571428572,0.41935085319781434,0.43803056027164683,0.8571428571428572,0
13,418,13,19.563157006100205,82.53067359315696,4,0,25.043428449760405,1,3,44.93716309238571,0.6307766260106105,0.4878863826232247,0.5357142857142857,0.637364366536492,0.4923599320882852,0.5357142857142857,1
